"source_system;client_id;snapshot_ts;invoice_internal_id;customer_id;document_number;invoice_date;due_date;posting_period;document_type;document_status; currency_id;exchange_rate;subsidiary_id;payment_terms;amount_total;amount_tax;amount_net;amount_paid;open_balance;last_modified_ts"
"netsuite;vonderk;2026-07-20 14:19;361416;3726;FC A-00007-00048917;17/07/2026;16/08/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;3;PLAZO 30 DIAS;676952.50;117487.62;559464.88;676952.50;.00; "
"netsuite;vonderk;2026-07-20 14:19;361417;3787;FC A-00007-00048918;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;3632668.36;642817.86;2989850.5;.00;3632668.36; "
"netsuite;vonderk;2026-07-20 14:19;361420;3883;FC A-00007-00048919;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;572079.70;118048.20;454031.5;.00;572079.70; "
"netsuite;vonderk;2026-07-20 14:19;361422;3767;FC A-00007-00048920;17/07/2026;15/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;441338.66;55060.56;386278.1;.00;441338.66; "
"netsuite;vonderk;2026-07-20 14:19;361424;3769;FC A-00007-00048921;17/07/2026;15/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;939568.63;163065.63;776503;.00;939568.63; "
"netsuite;vonderk;2026-07-20 14:19;361526;4075;FC A-00007-00048922;17/07/2026;15/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;127530.98;22133.48;105397.5;.00;127530.98; "
"netsuite;vonderk;2026-07-20 14:19;361532;3779;FC A-00007-00048923;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;944886.94;163988.64;780898.3;.00;944886.94; "
"netsuite;vonderk;2026-07-20 14:19;361542;14071;FC A-00007-00048924;17/07/2026;16/08/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;3;PLAZO 30 DIAS;91577.72;17425.72;74152;91577.72;.00; "
"netsuite;vonderk;2026-07-20 14:19;361548;3720;FC A-00007-00048925;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;172672.50;34534.50;138138;.00;172672.50; "
"netsuite;vonderk;2026-07-20 14:19;361550;3720;FC A-00007-00048926;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;404490.94;80898.19;323592.75;.00;404490.94; "
"netsuite;vonderk;2026-07-20 14:19;361551;3979;FC A-00007-00048927;17/07/2026;15/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;175675.33;32558.98;143116.35;.00;175675.33; "
"netsuite;vonderk;2026-07-20 14:19;361556;3776;FC A-00007-00048928;17/07/2026;24/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 7 DIAS;110707.74;19213.74;91494;.00;110707.74; "
"netsuite;vonderk;2026-07-20 14:19;361559;3976;FC A-00007-00048929;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;562221.66;97575.66;464646;.00;562221.66; "
"netsuite;vonderk;2026-07-20 14:19;361561;4047;FC A-00007-00048930;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;520977.60;90417.60;430560;.00;520977.60; "
"netsuite;vonderk;2026-07-20 14:19;361566;3647;FC A-00007-00048931;17/07/2026;16/08/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 30 DIAS;629395.00;125879.00;503516;.00;629395.00; "
"netsuite;vonderk;2026-07-20 14:19;361569;3931;FC A-00007-00048932;17/07/2026;15/09/2026;jul 2026;Factura de venta;Abierta;1;1.00;3;PLAZO 60 DIAS;278578.30;48348.30;230230;.00;278578.30; "
"netsuite;vonderk;2026-07-20 14:19;360220;3769;MEX-9900022497;16/07/2026;23/07/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;11;PLAZO 7 DIAS;.00;;0;.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;360221;3874;MEX-9900022498;16/07/2026;23/07/2026;jul 2026;Factura de venta;Pagado por completo;1;1.00;11;PLAZO 7 DIAS;.00;;0;.00;.00; "
"netsuite;vonderk;2026-07-20 14:19;360222;3720;MEX-9900022499;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;43639.05;;43639.05;.00;43639.05; "
"netsuite;vonderk;2026-07-20 14:19;360223;3720;MEX-9900022500;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;3408.60;;3408.6;.00;3408.60; "
"netsuite;vonderk;2026-07-20 14:19;360224;4100;MEX-9900022501;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;66736.80;;66736.8;.00;66736.80; "
"netsuite;vonderk;2026-07-20 14:19;360226;3846;MEX-9900022502;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;206504.35;;206504.35;.00;206504.35; "
"netsuite;vonderk;2026-07-20 14:19;360227;3874;MEX-9900022503;16/07/2026;23/07/2026;jul 2026;Factura de venta;Abierta;1;1.00;11;PLAZO 7 DIAS;992321.20;;992321.2;.00;992321.20; "
