"source_system;client_id;snapshot_ts;item_internal_id;item_name;location;subsidiary;stock_status;quantity_on_hand;quantity_available;average_cost"
"netsuite;vonderk;2026-07-20 14:19;12130;CS-MAIN CORTINA MINI;Almacén General Mentrau;MENTRAU;Good;50;50;39890.03637681"
"netsuite;vonderk;2026-07-20 14:19;12130;CS-MAIN CORTINA MINI;Almacén General Mentrau;MENTRAU;Good;16;16;39890.03637681"
"netsuite;vonderk;2026-07-20 14:19;12130;CS-MAIN CORTINA MINI;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;39890.03637681"
"netsuite;vonderk;2026-07-20 14:19;12130;CS-MAIN CORTINA MINI;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;39890.03637681"
"netsuite;vonderk;2026-07-20 14:19;8383;CS-MAIN RELAY 16A;Almacén General Mentrau;MENTRAU;Good;43;43;130129.41"
"netsuite;vonderk;2026-07-20 14:19;8383;CS-MAIN RELAY 16A;Producción Mentrau;MENTRAU;En inspección;1;1;130129.41"
"netsuite;vonderk;2026-07-20 14:19;8383;CS-MAIN RELAY 16A;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;130129.41"
"netsuite;vonderk;2026-07-20 14:19;8383;CS-MAIN RELAY 16A;Showroom Mentrau;MENTRAU;Buen estado Otros;1;1;130129.41"
"netsuite;vonderk;2026-07-20 14:19;12126;CS-PIR SENSOR;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;39388.20666667"
"netsuite;vonderk;2026-07-20 14:19;12126;CS-PIR SENSOR;Almacen Mentrau Exento;MENTRAU;Buen estado PT;2;2;39388.20666667"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Almacén General Mentrau;MENTRAU;Good;1;1;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Producción Mentrau;MENTRAU;En inspección;3;3;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Producción Mentrau;MENTRAU;En inspección;3;3;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Producción Mentrau;MENTRAU;En inspección;7;7;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Almacen Mentrau Exento;MENTRAU;Buen estado PT;1;1;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Showroom Mentrau;MENTRAU;Buen estado Otros;1;1;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Showroom Mentrau;MENTRAU;Buen estado Otros;6;6;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Showroom Mentrau;MENTRAU;Buen estado Otros;1;1;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Showroom Mentrau;MENTRAU;Buen estado Otros;7;7;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Showroom Mentrau;MENTRAU;Buen estado Otros;4;4;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8384;CS-PWM4;Almacen Mentrau Exento;MENTRAU;Buen estado Otros;1;1;55242.58"
"netsuite;vonderk;2026-07-20 14:19;8385;CS-PWM4 LR;Almacén General Mentrau;MENTRAU;Good;6;6;57832.73"
"netsuite;vonderk;2026-07-20 14:19;8385;CS-PWM4 LR;Almacen Mentrau Exento;MENTRAU;Good;1;1;57832.73"
"netsuite;vonderk;2026-07-20 14:19;8385;CS-PWM4 LR;Almacén General Mentrau;MENTRAU;Good;2;2;57832.73"
"netsuite;vonderk;2026-07-20 14:19;8385;CS-PWM4 LR;Almacen Mentrau Exento;MENTRAU;Good;5;5;57832.73"
"netsuite;vonderk;2026-07-20 14:19;8385;CS-PWM4 LR;Almacen Mentrau Exento;MENTRAU;Buen estado PT;15;15;57832.73"
"netsuite;vonderk;2026-07-20 14:19;8385;CS-PWM4 LR;Showroom Mentrau;MENTRAU;Buen estado PT;6;6;57832.73"
"netsuite;vonderk;2026-07-20 14:19;8385;CS-PWM4 LR;Almacen Mentrau Exento;MENTRAU;Buen estado PT;12;12;57832.73"
"netsuite;vonderk;2026-07-20 14:19;11838;CS-PWM5;Almacén General Mentrau;MENTRAU;Good;116;116;45810.73509804"
"netsuite;vonderk;2026-07-20 14:19;11838;CS-PWM5;Showroom Mentrau;MENTRAU;Good;1;1;45810.73509804"
"netsuite;vonderk;2026-07-20 14:19;11838;CS-PWM5;Almacen Mentrau Exento;MENTRAU;Buen estado PT;35;35;45810.73509804"
"netsuite;vonderk;2026-07-20 14:19;11838;CS-PWM5;Showroom Mentrau;MENTRAU;Buen estado PT;1;1;45810.73509804"
"netsuite;vonderk;2026-07-20 14:19;12132;CS-RELAY MINI-2CH;Almacén General Mentrau;MENTRAU;Good;22;22;40166.97815789"
"netsuite;vonderk;2026-07-20 14:19;12132;CS-RELAY MINI-2CH;Almacen Mentrau Exento;MENTRAU;Buen estado PT;8;8;40166.97815789"
"netsuite;vonderk;2026-07-20 14:19;12132;CS-RELAY MINI-2CH;Showroom Mentrau;MENTRAU;Buen estado PT;2;2;40166.97815789"
"netsuite;vonderk;2026-07-20 14:19;12132;CS-RELAY MINI-2CH;Almacen Mentrau Exento;MENTRAU;Buen estado PT;6;6;40166.97815789"
"netsuite;vonderk;2026-07-20 14:19;8387;CS-TED;Producción Mentrau;MENTRAU;En inspección;3;3;43818.96"
"netsuite;vonderk;2026-07-20 14:19;8387;CS-TED;Producción Mentrau;MENTRAU;En inspección;5;5;43818.96"
"netsuite;vonderk;2026-07-20 14:19;8387;CS-TED;Almacen Mentrau Exento;MENTRAU;Buen estado PT;9;9;43818.96"
"netsuite;vonderk;2026-07-20 14:19;8387;CS-TED;Showroom Mentrau;MENTRAU;Buen estado Otros;3;3;43818.96"
"netsuite;vonderk;2026-07-20 14:19;8387;CS-TED;Showroom Mentrau;MENTRAU;Buen estado Otros;10;10;43818.96"
